Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°07'48""","76°02'42""",402,Sd,"Aeol,All,Clay"
"27°07'50""","76°03'18""",401,Sd,"Aeol,All,Clay"
"27°08'29""","76°02'41""",408,Sd,"Aeol,All,Clay"
"27°08'24""","76°03'17""",412,Sd,QUART
"27°07'59""","76°03'58""",404,"Sd,St","Aeol,All,Clay"
"27°07'59""","76°04'28""",412,"Sd,St","Aeol,All,Clay"
"27°08'21""","76°04'01""",398,"Sd,St","Aeol,All,Clay"
"27°08'19""","76°04'31""",407,Sd,QUART
"27°07'29""","76°04'58""",432,Sd,"Aeol,All,Clay"
"27°07'50""","76°05'55""",429,Sd,"Aeol,All,Clay"
"27°08'19""","76°04'56""",436,Sd,"Aeol,All,Clay"
"27°08'20""","76°05'48""",426,Sd,"Aeol,All,Clay"
"27°07'50""","76°06'15""",445,"Rk,Sd",QUART
"27°07'50""","76°06'58""",390,Sd,"Aeol,All,Clay,Q
UART"
"27°08'30""","76°06'15""",431,Sd,"Aeol,All,Clay"
"27°08'15""","76°06'52""",460,"Rk,Sd",QUART
"27°07'52""","76°07'42""",381,Sd,"Aeol,All,Clay"
"27°08'00""","76°08'28""",397,"Sd,C",AMPH
"27°08'30""","76°07'35""",417,"Rk,Sd",QUART
"27°08'27""","76°08'22""",420,"Sd,C",AMPH
"27°07'56""","76°08'40""",403,"Sd,C",AMPH
"27°07'57""","76°09'24""",399,Sd,"Aeol,All,Clay,A
MPH"
"27°08'39""","76°08'47""",430,"Rk,Sd","QUART, AMPH"
"27°08'30""","76°09'32""",402,Sd,AMPH
"27°08'00""","76°10'14""",415,Sd,QUART
"27°07'46""","76°10'51""",422,"G,Sd","QUART, AMPH"
"27°08'23""","76°10'06""",387,Sd,"QUART,   MICA
SCHI"
"27°08'27""","76°10'40""",428,Sd,QUART
"27°08'05""","76°11'06""",408,Sd,AMPH
"27°08'03""","76°11'51""",402,Sd,QUART
"27°08'33""","76°11'10""",408,Sd,AMPH
"27°08'36""","76°12'01""",384,Sd,QUART
"27°07'45""","76°12'25""",403,"G,Sd","QUART, AMPH"
"27°08'07""","76°12'58""",395,"G,Sd",CALC SILI
"27°08'29""","76°12'19""",398,"Rk,G,Sd","QUART, CALC SILI"
